date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:33	59824/59824	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/input-group/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/input-group/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:35	13596/13596	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/sign-in.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/sign-in.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:36	25428/25428	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/jumbotron/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/jumbotron/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:37	82270/82270	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/carousel.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/carousel.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:39	74461/74461	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/list-group/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/list-group/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:41	77806/77806	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/components/modal/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/components/modal/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:06:45	25002/25002	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/sticky-footer.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/sticky-footer.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:45	105325/105325	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/dashboard.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/dashboard.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:46	122280/122280	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/blog.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/blog.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:06:47	79037/79037	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/justified-nav.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/justified-nav.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
